provider   model                                    context  max-out  thinking  images
anthropic  claude-fable-5                           1M       128K     yes       yes   
anthropic  claude-fable-5-1                         1M       128K     yes       yes   
anthropic  claude-haiku-4-5                         200K     64K      yes       yes   
anthropic  claude-haiku-4-5-20251001                200K     64K      yes       yes   
anthropic  claude-opus-4-5                          200K     64K      yes       yes   
anthropic  claude-opus-4-5-20251101                 200K     64K      yes       yes   
anthropic  claude-opus-4-6                          1M       128K     yes       yes   
anthropic  claude-opus-4-7                          1M       128K     yes       yes   
anthropic  claude-opus-4-8                          1M       128K     yes       yes   
anthropic  claude-opus-5                            1M       128K     yes       yes   
anthropic  claude-sonnet-4-5                        1M       64K      yes       yes   
anthropic  claude-sonnet-4-5-20250929               1M       64K      yes       yes   
anthropic  claude-sonnet-4-6                        1M       128K     yes       yes   
anthropic  claude-sonnet-5                          1M       128K     yes       yes   
google     deep-research-max-preview-04-2026        131.1K   65.5K    yes       yes   
google     deep-research-preview-04-2026            131.1K   65.5K    yes       yes   
google     gemini-2.5-computer-use-preview-10-2025  131.1K   65.5K    yes       yes   
google     gemini-2.5-flash                         1.0M     65.5K    yes       yes   
google     gemini-2.5-flash-lite                    1.0M     65.5K    yes       yes   
google     gemini-2.5-pro                           1.0M     65.5K    yes       yes   
google     gemini-3-flash-preview                   1.0M     65.5K    yes       yes   
google     gemini-3.1-flash-lite                    1.0M     65.5K    yes       yes   
google     gemini-3.1-flash-lite-image              65.5K    65.5K    yes       yes   
google     gemini-3.1-flash-lite-preview            1.0M     65.5K    yes       yes   
google     gemini-3.1-flash-live-preview            131.1K   65.5K    yes       yes   
google     gemini-3.1-pro-preview                   1.0M     65.5K    yes       yes   
google     gemini-3.1-pro-preview-customtools       1.0M     65.5K    yes       yes   
google     gemini-3.5-flash                         1.0M     65.5K    yes       yes   
google     gemini-3.5-flash-lite                    1.0M     65.5K    yes       yes   
google     gemini-3.6-flash                         1.0M     65.5K    yes       yes   
google     gemini-3.7-flash                         1.0M     65.5K    yes       yes   
google     gemini-3.8-flash                         1.0M     65.5K    yes       yes   
google     gemini-flash-latest                      1.0M     65.5K    yes       yes   
google     gemini-flash-lite-latest                 1.0M     65.5K    yes       yes   
google     gemma-4-26b-a4b-it                       262.1K   32.8K    yes       yes   
google     gemma-4-31b-it                           262.1K   32.8K    yes       yes   
openai     gpt-4                                    8.2K     8.2K     no        no    
openai     gpt-4-turbo                              128K     4.1K     no        yes   
openai     gpt-4.1                                  1.0M     32.8K    no        yes   
openai     gpt-4.1-mini                             1.0M     32.8K    no        yes   
openai     gpt-4.1-nano                             1.0M     32.8K    no        yes   
openai     gpt-4o                                   128K     16.4K    no        yes   
openai     gpt-4o-2024-05-13                        128K     4.1K     no        yes   
openai     gpt-4o-2024-08-06                        128K     16.4K    no        yes   
openai     gpt-4o-2024-11-20                        128K     16.4K    no        yes   
openai     gpt-4o-mini                              128K     16.4K    no        yes   
openai     gpt-5                                    400K     128K     yes       yes   
openai     gpt-5-chat-latest                        128K     16.4K    no        yes   
openai     gpt-5-mini                               400K     128K     yes       yes   
openai     gpt-5-nano                               400K     128K     yes       yes   
openai     gpt-5-pro                                400K     128K     yes       yes   
openai     gpt-5.1                                  400K     128K     yes       yes   
openai     gpt-5.2                                  400K     128K     yes       yes   
openai     gpt-5.2-chat-latest                      128K     16.4K    yes       yes   
openai     gpt-5.2-pro                              400K     128K     yes       yes   
openai     gpt-5.3-chat-latest                      128K     16.4K    no        yes   
openai     gpt-5.3-codex                            400K     128K     yes       yes   
openai     gpt-5.3-codex-spark                      128K     32K      yes       yes   
openai     gpt-5.4                                  272K     128K     yes       yes   
openai     gpt-5.4-mini                             400K     128K     yes       yes   
openai     gpt-5.4-nano                             400K     128K     yes       yes   
openai     gpt-5.4-pro                              1.1M     128K     yes       yes   
openai     gpt-5.5                                  272K     128K     yes       yes   
openai     gpt-5.5-pro                              1.1M     128K     yes       yes   
openai     gpt-5.6-luna                             272K     128K     yes       yes   
openai     gpt-5.6-sol                              272K     128K     yes       yes   
openai     gpt-5.6-terra                            272K     128K     yes       yes   
openai     gpt-6-astra                              272K     128K     yes       yes   
openai     gpt-realtime-2.1                         128K     32K      yes       yes   
openai     o1                                       200K     100K     yes       yes   
openai     o1-pro                                   200K     100K     yes       yes   
openai     o3                                       200K     100K     yes       yes   
openai     o3-mini                                  200K     100K     yes       no    
openai     o3-pro                                   200K     100K     yes       yes   
openai     o4-mini                                  200K     100K     yes       yes   
